"","id","doses","totMem","immRate","year","type","gradeRange","pubPriv","team2014","p.vfc","frLunch13","school"
"61",141,368,994,37,2009,"mid","mid","pub","1",43.5164835164835,54.12,"WESTWOOD MIDDLE"
"62",52,24,66,36.3636363636364,2010,"elem","elem","pub","4",91.304347826087,80,"A QUINN ELEM."
"63",161,160,424,37.7358490566038,2010,"elem","elem","pub","4",52.760736196319,64.25,"ALACHUA ELEM."
"64",1011,38,170,22.3529411764706,2010,"multi","k-8","priv",NA,39.0243902439024,NA,"ALACHUA LEARNING CTR"
"65",171,271,470,57.6595744680851,2010,"elem","elem","pub","4",49.8181818181818,59.43,"ARCHER ELEM."
"66",-1,5,65,7.69230769230769,2010,"prek","prek","priv",NA,12.5,NA,"B'NAI ISRAEL"
"67",-21,3,59,5.08474576271186,2010,"multi","prek-8","priv",NA,NA,NA,"BHAKTIVEDANTA"
"68",-2,80,183,43.7158469945355,2010,"multi","prek-5","priv",NA,15.7303370786517,NA,"BRENTWOOD SCHOOL"
"69",431,344,2048,16.796875,2010,"high","high","pub","2",25.5972696245734,27.28,"BUCHHOLZ HIGH"
"70",953,37,124,29.8387096774194,2010,"elem","elem","priv",NA,87.1794871794872,94.3,"CARING & SHARING LEARNING"
"71",510,356,715,49.7902097902098,2010,"elem","elem","pub","2",21.5568862275449,34.83,"CHILES ELEM."
"72",-3,16,40,40,2010,"multi","k-12","priv",NA,57.1428571428571,NA,"CHRISTIAN LIFE ACADEMY"
"73",-4,31,149,20.8053691275168,2010,"multi","prek-12","priv",NA,20.8333333333333,NA,"COUNTRYSIDE BAPTIST"
"74",21,149,321,46.417445482866,2010,"elem","elem","pub","1",87.218045112782,96.6,"DUVAL ELEM."
"75",421,241,1403,17.1774768353528,2010,"high","high","pub","2",34.3661971830986,52.69,"EASTSIDE HIGH"
"76",955,29,102,28.4313725490196,2010,"multi","2-8","priv",NA,48.8888888888889,51.4,"EINSTEIN MONT"
"77",956,19,88,21.5909090909091,2010,"elem","elem","priv",NA,23.0769230769231,12.09,"EXPRESSIONS"
"78",-6,27,70,38.5714285714286,2010,"elem","elem","priv",NA,58.8235294117647,NA,"FOREST GROVE"
"79",481,325,820,39.6341463414634,2010,"mid","mid","pub","3",38.7951807228916,42.25,"FT. CLARKE MIDDLE"
"80",151,334,1791,18.6487995533222,2010,"high","high","pub","3",30.4932735426009,42.3,"GAINESVILLE HIGH"
"81",958,13,66,19.6969696969697,2010,"elem","elem","priv",NA,88.8888888888889,82.35,"GENESIS PREP."
"82",331,229,411,55.7177615571776,2010,"elem","elem","pub","1",36.7892976588629,45.53,"GLEN SPRINGS ELEM."
"83",-7,133,225,59.1111111111111,2010,"prek","prek","priv",NA,9.52380952380952,NA,"G'VILLE COUNTRY DAY PRE-K 75TH"
"84",201,74,345,21.4492753623188,2010,"high","high","pub","3",75,79.53,"HAWTHORNE JR./SR. HIGH"
"85",981,30,60,50,2010,"elem","elem","priv",NA,15.3846153846154,26.14,"HEALTHY LEARNING"
"86",482,506,852,59.3896713615023,2010,"elem","elem","pub","3",20.4761904761905,29.5,"HIDDEN OAK ELEM."
"87",461,318,857,37.1061843640607,2010,"elem","elem","pub","3",32.6027397260274,39.86,"HIGH SPRINGS ELEM."
"88",971,12,120,10,2010,"mid","mid","priv",NA,57.5,79.82,"HOGGTOWN MIDDLE"
"89",412,7,81,8.64197530864197,2010,"high","high","pub","1",75,93.26,"HORIZON CENTER"
"90",121,220,728,30.2197802197802,2010,"mid","mid","pub","2",39.5161290322581,60.03,"HOWARD BISHOP MIDDLE"
"91",321,275,652,42.1779141104294,2010,"elem","elem","pub","3",73.5593220338983,83.18,"IDYLWILD ELEM."
"92",571,218,529,41.2098298676749,2010,"elem","elem","pub","2",59.5330739299611,65.35,"IRBY ELEM."
"93",31,261,459,56.8627450980392,2010,"elem","elem","pub","1",48.3333333333333,56.25,"JJ FINLEY ELEM."
"94",-9,45,115,39.1304347826087,2010,"multi","prek-8","priv",NA,5.08474576271186,NA,"JORDAN GLENN"
"95",502,379,900,42.1111111111111,2010,"mid","mid","pub","4",35.8536585365854,45.6,"KANAPAHA MIDDLE"
"96",71,144,379,37.9947229551451,2010,"elem","elem","pub","4",88.4615384615385,96,"LAKE FOREST ELEM."
"97",112,196,723,27.1092669432918,2010,"mid","mid","pub","2",35.2941176470588,53.76,"LINCOLN MIDDLE"
