"","X","district","id","School","totMem","free","reduced","naf","frper"
"2189",36,"LEE",9450,"COUNTY WIDE EXCEPTIONAL CHILD",99,33,1,"34","34.34"
"2190",37,"LEON",21,"LEON HIGH SCHOOL",1930,301,54,"355","18.39"
"2191",37,"LEON",31,"KATE SULLIVAN ELEM. SCHOOL",820,321,44,"365","44.51"
"2192",37,"LEON",32,"ELIZABETH COBB MIDDLE SCHOOL",816,317,55,"372","45.59"
"2193",37,"LEON",41,"FRANK HARTSFIELD ELEM. SCHOOL",470,NA,NA,"","0"
"2194",37,"LEON",51,"JAMES RICKARDS HIGH SCHOOL",1295,557,76,"633","48.88"
"2195",37,"LEON",71,"SABAL PALM ELEMENTARY SCHOOL",534,NA,NA,"","0"
"2196",37,"LEON",91,"RUEDIGER ELEMENTARY SCHOOL",479,NA,NA,"","0"
"2197",37,"LEON",92,"RAA MIDDLE SCHOOL",970,406,98,"504","51.96"
"2198",37,"LEON",131,"WOODVILLE ELEMENTARY SCHOOL",429,NA,NA,"","0"
"2199",37,"LEON",161,"AMOS P. GODBY HIGH SCHOOL",1041,454,68,"522","50.14"
"2200",37,"LEON",171,"OAK RIDGE ELEMENTARY SCHOOL",568,NA,NA,"","0"
"2201",37,"LEON",191,"SECOND CHANCE AT GHAZVINI LEAR",114,86,1,"87","76.32"
"2202",37,"LEON",204,"SAIL",389,91,23,"114","29.31"
"2203",37,"LEON",222,"GRIFFIN MIDDLE SCHOOL",587,382,36,"418","71.21"
"2204",37,"LEON",231,"JOHN G RILEY ELEMENTARY SCHOOL",575,NA,NA,"","0"
"2205",37,"LEON",291,"R. FRANK NIMS MIDDLE SCHOOL",460,238,24,"262","56.96"
"2206",37,"LEON",311,"PINEVIEW ELEMENTARY SCHOOL",462,NA,NA,"","0"
"2207",37,"LEON",361,"LIVELY TECHNICAL CENTER",31,17,1,"18","58.06"
"2208",37,"LEON",381,"GILCHRIST ELEMENTARY SCHOOL",943,162,42,"204","21.63"
"2209",37,"LEON",401,"ASTORIA PARK ELEMENTARY SCHOOL",596,NA,NA,"","0"
"2210",37,"LEON",411,"GRETCHEN EVERHART SCHOOL",209,107,15,"122","58.37"
"2211",37,"LEON",421,"W T MOORE ELEMENTARY SCHOOL",534,194,45,"239","44.76"
"2212",37,"LEON",431,"SEALEY ELEMENTARY SCHOOL",554,281,36,"317","57.22"
"2213",37,"LEON",441,"APALACHEE ELEMENTARY SCHOOL",597,NA,NA,"","0"
"2214",37,"LEON",451,"FAIRVIEW MIDDLE SCHOOL",896,486,65,"551","61.5"
"2215",37,"LEON",452,"PACE SECONDARY SCHOOL",77,58,1,"59","76.62"
"2216",37,"LEON",481,"KILLEARN LAKES ELEM. SCHOOL",914,72,23,"95","10.39"
"2217",37,"LEON",491,"CHAIRES ELEMENTARY SCHOOL",437,172,24,"196","44.85"
"2218",37,"LEON",501,"SPRINGWOOD ELEMENTARY SCHOOL",628,405,50,"455","72.45"
"2219",37,"LEON",511,"DESOTO TRAIL ELEMENTARY SCHOOL",634,66,28,"94","14.83"
"2220",37,"LEON",521,"BUCK LAKE ELEMENTARY SCHOOL",716,51,19,"70","9.78"
"2221",37,"LEON",531,"DEERLAKE MIDDLE SCHOOL",950,66,22,"88","9.26"
"2222",37,"LEON",561,"FORT BRADEN ELEMENTARY SCHOOL",782,NA,NA,"","0"
"2223",37,"LEON",1091,"LINCOLN HIGH SCHOOL",1941,247,77,"324","16.69"
"2224",37,"LEON",1131,"HAWKS RISE ELEMENTARY SCHOOL",816,97,13,"110","13.48"
"2225",37,"LEON",1141,"LAWTON CHILES HIGH SCHOOL",1919,86,23,"109","5.68"
"2226",37,"LEON",1151,"SWIFT CREEK MIDDLE SCHOOL",736,124,31,"155","21.06"
"2227",37,"LEON",1161,"CANOPY OAKS ELEMENTARY SCHOOL",708,241,52,"293","41.38"
"2228",37,"LEON",1171,"ROBERTS ELEMENTARY SCHOOL",828,132,30,"162","19.57"
