"","id","school","doses","totMem","immRate","year","type","gradeRange","pubPriv","frLunch13","percent_free_reduced_lunch"
"172",391,"PK Yonge**",104,1146,0.0907504363,2011,"multi","k-12","pub",NA,NA
"173",500,"Prairie View",34,83,0.4096385542,2011,"elem","elem","pub",100,100
"174",341,"Rawlings Elem.",145,365,0.397260274,2011,"elem","elem","pub",78.98,78.98
"175",271,"Sante Fe High",90,1005,0.0895522388,2011,"high","high","pub",25.67,25.67
"176",281,"Shell Elem.",94,205,0.4585365854,2011,"elem","elem","pub",57.92,57.92
"177",-22,"Spencer House Montessori**",13,30,0.4333333333,2011,"prek","prek","priv",NA,NA
"178",-14,"St. Francis High School**",70,241,0.2904564315,2011,"high","high","priv",NA,NA
"179",41,"Stephen Foster Elem.",215,455,0.4725274725,2011,"elem","elem","pub",61.35,61.35
"180",-19,"Sweetwater Branch",92,291,0.3161512027,2011,"elem","elem","priv",NA,NA
"181",561,"Talbot Elem.",357,712,0.5014044944,2011,"elem","elem","pub",31.99,31.99
"182",311,"Terwilliger Elem.",289,684,0.4225146199,2011,"elem","elem","pub",85.21,85.21
"183",-16,"The Rock**",54,300,0.18,2011,"multi","prek-12","priv",NA,NA
"184",291,"Waldo Elem.",91,214,0.4252336449,2011,"elem","elem","pub",85.99,85.99
"185",-23,"Westwood Hills",38,160,0.2375,2011,"prek","prek","priv",NA,NA
"186",141,"Westwood Middle",323,1033,0.3126815102,2011,"mid","mid","pub",54.12,54.12
"187",501.1,"Wiles Headstart",28,70,0.4,2011,"prek","prek","pub",NA,NA
"188",501,"Wiles Elem.",394,747,0.5274431058,2011,"elem","elem","pub",44.32,44.32
"189",111,"Williams Elem.",112,493,0.2271805274,2011,"elem","elem","pub",74.73,74.73
"190",52,"A Quinn Elem.",28,64,0.4375,2012,"elem","elem","pub",80,80
"191",161,"Alachua Elem.",160,376,0.4255319149,2012,"elem","elem","pub",64.25,64.25
"192",1011,"Alachua Learning Ctr",37,160,0.23125,2012,"multi","k-8","priv",NA,NA
"193",171,"Archer Elem.",270,459,0.5882352941,2012,"elem","elem","pub",59.43,59.43
"194",-1,"B'nai Israel",14,65,0.2153846154,2012,"prek","prek","priv",NA,NA
"195",-2,"Brentwood School",95,190,0.5,2012,"multi","prek-5","priv",NA,NA
"196",431,"Buchholz High",580,1987,0.2918973327,2012,"high","high","pub",27.28,27.28
"197",953,"Caring & Sharing Learning",33,165,0.2,2012,"elem","elem","priv",94.3,94.3
"198",510,"Chiles Elem.",321,616,0.5211038961,2012,"elem","elem","pub",34.83,34.83
"199",-3,"Christian Life Academy",13,42,0.3095238095,2012,"multi","k-12","priv",NA,NA
"200",-4,"Countryside Baptist",50,125,0.4,2012,"multi","prek-12","priv",NA,NA
"201",21,"Duval Elem.",153,309,0.4951456311,2012,"elem","elem","pub",96.6,96.6
"202",421,"Eastside High",275,1266,0.2172195893,2012,"high","high","pub",52.69,52.69
"203",955,"Einstein Mont",39,106,0.3679245283,2012,"multi","2-8","priv",51.4,51.4
"204",956,"Expressions",12,20,0.6,2012,"elem","elem","priv",12.09,12.09
"205",-5,"First Christian Academy",70,227,0.3083700441,2012,"elem","elem","priv",NA,NA
"206",-6,"Forest Grove",33,112,0.2946428571,2012,"elem","elem","priv",NA,NA
"207",481,"Ft. Clarke Middle",394,822,0.4793187348,2012,"mid","mid","pub",42.25,42.25
"208",151,"Gainesville High",323,1815,0.1779614325,2012,"high","high","pub",42.3,42.3
